"","DR.Number","Date.Reported","Date.Occurred","Time.Occurred","Area.ID","Area.Name","Reporting.District","Crime.Code","Crime.Code.Description","MO.Codes","Victim.Age","Victim.Sex","Victim.Descent","Premise.Code","Premise.Description","Address","Cross.Street","Location","Zip.Codes","Census.Tracts","Precinct.Boundaries","LA.Specific.Plans","Council.Districts","Neighborhood.Councils..Certified."
"21604",181323364,"2018-11-26T00:00:00.000","2018-11-25T00:00:00.000",220,13,"Newton",1322,997,"TRAFFIC COLLISION","1300 3101 3401 3701 3004 3026 3036 3602",34,"F","H",101,"STREET","22ND                         ST","SAN PEDRO","{'longitude': '-118.2592', 'latitude': '34.0249'}",22727,704,815,7,13,6
"312179",131811584,"2013-06-11T00:00:00.000","2013-06-10T00:00:00.000",2045,18,"Southeast",1846,997,"TRAFFIC COLLISION","3008 3026 3029 3101",20,"F","B",101,"STREET","COMPTON                      AV","111TH                        ST","{'longitude': '-118.2463', 'latitude': '33.9348'}",24354,821,1186,7,15,40
"106422",171414097,"2017-06-09T00:00:00.000","2017-06-06T00:00:00.000",730,14,"Pacific",1489,997,"TRAFFIC COLLISION","",53,"M","O",101,"STREET","CENTURY                      BL","AVIATION                     BL","{'longitude': '-118.3785', 'latitude': '33.9455'}",23676,NA,445,10,10,16
"98888",172014433,"2017-07-25T00:00:00.000","2017-07-24T00:00:00.000",15,20,"Olympic",2019,997,"TRAFFIC COLLISION","3004 3028 3030 3035 3037 3102 3401 3701 4027",42,"M","A",101,"STREET","KINGSLEY                     DR","3RD                          ST","{'longitude': '-118.2878', 'latitude': '34.0728'}",22721,580,885,16,8,80
"53888",180809941,"2018-05-04T00:00:00.000","2018-05-04T00:00:00.000",1650,8,"West LA",854,997,"TRAFFIC COLLISION","3003 3026 3035 3037 3101 3401 3701 4008",31,"M","H",101,"STREET","PONTIUS                      AV","SANTA MONICA                 BL","{'longitude': '-118.445', 'latitude': '34.0475'}",23443,855,748,9,6,72
"62893",182107211,"2018-03-07T00:00:00.000","2018-03-07T00:00:00.000",930,21,"Topanga",2146,997,"TRAFFIC COLLISION","3004 3036 3034 3026 3101 3401 3701 4026",61,"F","W",101,"STREET","TOPANGA CANYON               BL","SCHOOLCRAFT                  ST","{'longitude': '-118.6059', 'latitude': '34.1965'}",4278,297,1472,NA,4,37
"92983",170814908,"2017-08-30T00:00:00.000","2017-08-30T00:00:00.000",1150,8,"West LA",847,997,"TRAFFIC COLLISION","3004 3026 3035 3037 3101 3401 3701 4027",43,"M","W",101,"STREET","BEVERLY GLEN                 BL","KESWICK                      AV","{'longitude': '-118.419', 'latitude': '34.0485'}",24029,871,816,9,6,75
"137208",160920606,"2016-11-20T00:00:00.000","2016-11-20T00:00:00.000",535,9,"Van Nuys",948,997,"TRAFFIC COLLISION","3011 3025 3101 3401 3701 4009",NA,"X","X",101,"STREET","13500    CHANDLER                     BL","","{'longitude': '-118.4274', 'latitude': '34.1686'}",19729,201,329,NA,7,83
"13386",191504981,"2019-01-19T00:00:00.000","2019-01-19T00:00:00.000",1345,15,"N Hollywood",1544,997,"TRAFFIC COLLISION","3004 3037 3030 3028 3101 3401 3701 4026",30,"F","W",101,"STREET","WHITSETT                     AV","LA MAIDA","{'longitude': '-118.4052', 'latitude': '34.1585'}",8890,191,1332,17,5,39
"115147",171510008,"2017-04-11T00:00:00.000","2017-04-11T00:00:00.000",1200,15,"N Hollywood",1543,997,"TRAFFIC COLLISION","3004 3036 3030 3028 3101 3401 3701 4026 0605",36,"M","H",101,"STREET","MAGNOLIA","WHITSETT","{'longitude': '-118.4052', 'latitude': '34.1649'}",8890,205,636,17,5,39
