"","Row original","Division of Records","Date Reported","Date Occurred","Time Occurred","Area ID","Area Name","Reporting Distric","Crime Code","Crime Code Description","Modus Operandi Codes","Victim Age","Victim Sex","Victim Descent","Premise Code","Premise Description","Address","Cross Street","Location","Zip Codes","Census Tracts","Precint Boundaries","LA Specific Plans","Council Districts","Neighborhood Councils"
"1",274475,141100650,"2014-04-23","2014-04-10",745,11,"Northeast",1143,997,"TRAFFIC COLLISION","3101 3401 3701 3004 3034",36,"M","O",101,"STREET","CLAREMONT                    AV","ALOHA                        ST","{'longitude': '-118.2741', 'latitude': '34.1053'}",23445,464,1312,NA,7,3
"2",320731,132108077,"2013-04-02","2013-04-02",2305,21,"Topanga",2157,997,"TRAFFIC COLLISION","3003 3029 3037 3026 4026 3101 3401 3701",NA,"F","B",101,"STREET","VANOWEN","DE SOTO","{'longitude': '-118.5884', 'latitude': '34.1938'}",4282,294,1547,2,4,66
"3",13589,191405030,"2019-01-17","2019-01-17",1310,14,"Pacific",1494,997,"TRAFFIC COLLISION","",39,"M","B",101,"STREET","SEPULVEDA","CENTURY                      FY","{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-118.3961', 'latitude': '33.931'}",23676,2340,445,10,10,16
"4",284489,141205155,"2014-01-20","2014-01-20",2025,12,"77th Street",1209,997,"TRAFFIC COLLISION","0605 3006 3026 3101",45,"M","H",101,"STREET","FLOWER","48TH                         ST","{'longitude': '-118.2813', 'latitude': '33.9992'}",23668,739,896,7,13,2
"5",146833,161319745,"2016-09-21","2016-09-21",1600,13,"Newton",1309,997,"TRAFFIC COLLISION","3101 3401 3701 3011 3034 3025",43,"M","H",101,"STREET","24TH                         ST","ALAMEDA","{'longitude': '-118.232', 'latitude': '34.0241'}",23082,533,1287,7,9,76
"6",147820,160715343,"2016-09-15","2016-09-15",1400,7,"Wilshire",719,997,"TRAFFIC COLLISION","3006 3028 3030 3035 3037 3101 3401 3701 4006",56,"F","H",101,"STREET","BEVERLY                      BL","LARCHMONT                    AV","{'longitude': '-118.3236', 'latitude': '34.0762'}",22721,577,348,NA,7,86
"7",463988,100705375,"2010-01-30","2010-01-30",1545,7,"Wilshire",723,997,"TRAFFIC COLLISION","",26,"M","O",101,"STREET","1ST                          ST","CRESCENT HEIGHTS","{'longitude': '-118.3658', 'latitude': '34.0743'}",23679,629,1095,NA,6,26
"8",105960,171011496,"2017-06-09","2017-06-09",1125,10,"West Valley",1075,997,"TRAFFIC COLLISION","3006 3030 3028 3102 3401 3701 4026",65,"F","O",101,"STREET","NESTLE","VENTURA","{'longitude': '-118.5298', 'latitude': '34.1663'}",19339,322,587,6,4,10
"9",150807,160815062,"2016-08-27","2016-08-27",1500,8,"West LA",836,997,"TRAFFIC COLLISION","3004 3028 3030 3035 3037 3101 3401 3701 4008",21,"M","H",101,"STREET","SANTA MONICA                 BL","BEVERLY GLEN                 BL","{'longitude': '-118.4247', 'latitude': '34.0568'}",23443,859,738,9,6,75
"10",270227,142010122,"2014-05-14","2014-05-14",1045,20,"Olympic",2001,997,"TRAFFIC COLLISION","4020 3004 3025 3035 3036 3101 3401 3701",22,"M","K",101,"STREET","WILTON                       PL","MELROSE                      AV","{'longitude': '-118.3135', 'latitude': '34.0835'}",22721,450,891,NA,7,86
"11",334184,120326450,"2012-12-10","2012-12-10",1455,3,"Southwest",319,997,"TRAFFIC COLLISION","3004 3028 3030 3101",20,"M","H",101,"STREET","ADAMS                        BL","FLOWER                       ST","{'longitude': '-118.276', 'latitude': '34.0277'}",22724,701,967,7,13,32
"12",268375,140312837,"2014-05-31","2014-05-30",1330,3,"Southwest",393,997,"TRAFFIC COLLISION","3003 3026 3102 4003",57,"F","H",108,"PARKING LOT","LEIMERT                      BL","KING                         BL","{'longitude': '-118.329', 'latitude': '34.0074'}",22725,749,1021,7,12,54
"13",161788,161011338,"2016-06-18","2016-06-18",1400,10,"West Valley",1089,997,"TRAFFIC COLLISION","3004 3037 3034 3028 3101 3401 3701 4026",99,"M","W",101,"STREET","VENTURA                      BL","SHERMAN OAKS                 AV","{'longitude': '-118.4689', 'latitude': '34.1543'}",19732,338,678,NA,6,62
"14",406099,111610218,"2011-05-13","2011-05-13",2340,16,"Foothill",1663,997,"TRAFFIC COLLISION","",41,"M","B",101,"STREET","SHELDON                      ST","SAN FERNANDO                 RD","{'longitude': '-118.3938', 'latitude': '34.2393'}",19335,156,1058,NA,3,21
"15",89874,170217624,"2017-09-21","2017-09-19",1720,2,"Rampart",269,997,"TRAFFIC COLLISION","0605 3102 3401 3701 4002 3003 3025 3036 3018",NA,"X","X",101,"STREET","7TH                          ST","WITMER                       ST","{'longitude': '-118.2678', 'latitude': '34.0524'}",23078,564,1378,54,11,68
"16",240852,140518897,"2014-12-22","2014-12-22",5,5,"Harbor",563,997,"TRAFFIC COLLISION","3004 3028 3101",NA,"M","O",101,"STREET","ALMA                         ST","13TH                         ST","{'longitude': '-118.299', 'latitude': '33.7325'}",3342,977,1210,NA,15,36
"17",270961,140211079,"2014-05-18","2014-05-09",720,2,"Rampart",256,997,"TRAFFIC COLLISION","3101 3401 3701 3003 3029 3026",NA,"M","O",101,"STREET","UNION                        AV","N  7TH                          ST","{'longitude': '-118.2712', 'latitude': '34.0539'}",23078,571,628,NA,11,68
"18",2610,192008831,"2019-04-07","2019-04-07",510,20,"Olympic",2074,997,"TRAFFIC COLLISION","3004 3026 3029 3035 3036 3101 3401 3701 4020",34,"M","H",101,"STREET","NORMANDIE                    AV","PICO                         BL","{'longitude': '-118.3003', 'latitude': '34.0472'}",22723,672,1357,NA,12,19
"19",347781,122015924,"2012-08-24","2012-08-24",1250,20,"Olympic",2035,997,"TRAFFIC COLLISION","0605 3101 3401 3701 4020 3004 3035 3037 3026",47,"M","H",101,"STREET","KENMORE","WILSHIRE","{'longitude': '-118.2967', 'latitude': '34.0618'}",22726,598,1316,NA,12,89
"20",337043,121720466,"2012-11-16","2012-11-16",1650,17,"Devonshire",1729,997,"TRAFFIC COLLISION","3004 3030 3036 3101 3401 3701 4017",34,"F","W",101,"STREET","BALBOA                       BL","RONALD REAGA                 FY","{'longitude': '-118.5144', 'latitude': '34.2757'}",19329,78,1414,NA,2,79
"21",292769,131120077,"2013-11-11","2013-11-11",1900,11,"Northeast",1133,997,"TRAFFIC COLLISION","3101 3401 3701 3008 3036 3029 3025",28,"M","W",101,"STREET","FLETCHER                     DR","LARGA                        AV","{'longitude': '-118.2505', 'latitude': '34.1111'}",23670,392,583,NA,8,42
"22",46133,181314396,"2018-06-24","2018-06-24",1600,13,"Newton",1307,997,"TRAFFIC COLLISION","3401 3701 3008 3025 3029 3101",44,"F","O",101,"STREET","8TH","CENTRAL","{'longitude': '-118.2433', 'latitude': '34.0336'}",23082,703,1018,NA,9,76
"23",14183,190404565,"2019-01-14","2019-01-14",1640,4,"Hollenbeck",441,997,"TRAFFIC COLLISION","3101 3401 3701 3004 3026 3036",74,"M","A",101,"STREET","CESAR E CHAVEZ               AV","GALLARDO                     ST","{'longitude': '-118.2238', 'latitude': '34.0535'}",23450,511,1322,NA,9,38
"24",448750,100912607,"2010-06-02","2010-06-02",1330,9,"Van Nuys",966,997,"TRAFFIC COLLISION","",62,"M","W",101,"STREET","RIVERSIDE                    DR","WOODMAN                      AV","{'longitude': '-118.4312', 'latitude': '34.1576'}",19736,202,964,NA,7,83
"25",270731,140808792,"2014-05-10","2014-05-10",1235,8,"West LA",813,997,"TRAFFIC COLLISION","0605 4008 3006 3025 3035 3037 3101 3401 3701",NA,"F","W",101,"STREET","SALTAIR                      AV","BENMORE                      TR","{'longitude': '-118.475', 'latitude': '34.0697'}",23680,831,345,NA,10,NA
"26",31846,180917947,"2018-09-22","2018-09-22",1700,9,"Van Nuys",981,997,"TRAFFIC COLLISION","3004 3037 3026 3101 3401 3701 4026",20,"F","O",101,"STREET","VENTURA                      BL","COLUMBUS                     AV","{'longitude': '-118.464', 'latitude': '34.1535'}",19732,335,883,6,7,83
